episode,score,scoreMax,scoreAvg,memoryLength,epsilon,qAvg,avgLoss
    0, 1.0, 1.0, 1.0,  147,1.000,0.04,0.00
    1, 2.0, 2.0, 1.1,  336,1.000,0.04,0.00
    2, 0.0, 2.0, 1.0,  446,1.000,0.03,0.00
    3, 3.0, 3.0, 1.2,  664,1.000,0.04,0.00
    4, 1.0, 3.0, 1.2,  812,1.000,0.04,0.00
    5, 0.0, 3.0, 1.1,  910,1.000,0.04,0.00
    6, 0.0, 3.0, 0.9, 1024,1.000,0.04,0.00
    7, 1.0, 3.0, 1.0, 1188,1.000,0.04,0.00
    8, 0.0, 3.0, 0.9, 1300,1.000,0.04,0.00
    9, 0.0, 3.0, 0.8, 1422,1.000,0.04,0.00
   10, 0.0, 3.0, 0.7, 1539,1.000,0.04,0.00
   11, 2.0, 3.0, 0.8, 1736,1.000,0.04,0.00
   12, 0.0, 3.0, 0.7, 1857,1.000,0.03,0.00
   13, 0.0, 3.0, 0.7, 1969,1.000,0.04,0.00
   14, 0.0, 3.0, 0.6, 2065,1.000,0.04,0.00
   15, 0.0, 3.0, 0.5, 2174,1.000,0.04,0.00
   16, 2.0, 3.0, 0.7, 2365,1.000,0.04,0.00
   17, 3.0, 3.0, 0.9, 2548,1.000,0.04,0.00
   18, 2.0, 3.0, 1.0, 2722,1.000,0.03,0.00
   19, 0.0, 3.0, 0.9, 2844,1.000,0.03,0.00
   20, 2.0, 3.0, 1.0, 3053,1.000,0.04,0.00
   21, 1.0, 3.0, 1.0, 3199,1.000,0.04,0.00
   22, 0.0, 3.0, 0.9, 3296,1.000,0.03,0.00
   23, 0.0, 3.0, 0.8, 3414,1.000,0.04,0.00
   24, 0.0, 3.0, 0.7, 3523,1.000,0.04,0.00
   25, 0.0, 3.0, 0.7, 3616,1.000,0.03,0.00
   26, 2.0, 3.0, 0.8, 3793,1.000,0.03,0.00
   27, 1.0, 3.0, 0.8, 3946,1.000,0.04,0.00
   28, 1.0, 3.0, 0.8, 4101,1.000,0.04,0.00
   29, 1.0, 3.0, 0.9, 4246,1.000,0.04,0.00
   30, 4.0, 4.0, 1.2, 4519,1.000,0.04,0.00
   31, 0.0, 4.0, 1.1, 4630,1.000,0.04,0.00
   32, 3.0, 4.0, 1.3, 4888,1.000,0.03,0.00
   33, 0.0, 4.0, 1.1, 4995,1.000,0.04,0.00
   34, 1.0, 4.0, 1.1, 5118,1.000,0.04,0.00
   35, 1.0, 4.0, 1.1, 5267,1.000,0.04,0.00
   36, 5.0, 5.0, 1.5, 5573,1.000,0.04,0.00
   37, 0.0, 5.0, 1.3, 5677,1.000,0.04,0.00
   38, 4.0, 5.0, 1.6, 5949,1.000,0.03,0.00
   39, 2.0, 5.0, 1.6, 6128,1.000,0.04,0.00
   40, 1.0, 5.0, 1.6, 6293,1.000,0.04,0.00
   41, 0.0, 5.0, 1.4, 6399,1.000,0.04,0.00
   42, 0.0, 5.0, 1.3, 6506,1.000,0.04,0.00
   43, 0.0, 5.0, 1.2, 6602,1.000,0.04,0.00
   44, 0.0, 5.0, 1.0, 6705,1.000,0.04,0.00
   45, 0.0, 5.0, 0.9, 6808,1.000,0.04,0.00
   46, 0.0, 5.0, 0.8, 6909,1.000,0.04,0.00
   47, 2.0, 5.0, 1.0, 7084,1.000,0.04,0.00
   48, 1.0, 5.0, 1.0, 7206,1.000,0.04,0.00
   49, 0.0, 5.0, 0.9, 7319,1.000,0.04,0.00
   50, 0.0, 5.0, 0.8, 7417,1.000,0.03,0.00
   51, 2.0, 5.0, 0.9, 7609,1.000,0.04,0.00
   52, 4.0, 5.0, 1.2, 7895,1.000,0.03,0.00
   53, 3.0, 5.0, 1.4, 8136,1.000,0.04,0.00
   54, 2.0, 5.0, 1.5, 8304,1.000,0.04,0.00
   55, 1.0, 5.0, 1.4, 8459,1.000,0.04,0.00
   56, 1.0, 5.0, 1.4, 8582,1.000,0.04,0.00
   57, 2.0, 5.0, 1.4, 8773,1.000,0.04,0.00
   58, 1.0, 5.0, 1.4, 8911,1.000,0.04,0.00
   59, 2.0, 5.0, 1.4, 9069,1.000,0.04,0.00
   60, 1.0, 5.0, 1.4, 9193,1.000,0.03,0.00
   61, 5.0, 5.0, 1.8, 9478,1.000,0.04,0.00
   62, 1.0, 5.0, 1.7, 9624,1.000,0.04,0.00
   63, 4.0, 5.0, 1.9, 9850,1.000,0.04,0.00
   64, 1.0, 5.0, 1.8, 9978,1.000,0.04,0.00
   65, 1.0, 5.0, 1.7,10132,1.000,0.04,0.00
   66, 0.0, 5.0, 1.6,10241,1.000,0.03,0.00
   67, 2.0, 5.0, 1.6,10433,1.000,0.04,0.00
   68, 2.0, 5.0, 1.7,10641,1.000,0.04,0.00
   69, 3.0, 5.0, 1.8,10880,1.000,0.03,0.00
   70, 0.0, 5.0, 1.6,10974,1.000,0.04,0.00
   71, 1.0, 5.0, 1.5,11122,1.000,0.03,0.00
   72, 2.0, 5.0, 1.6,11298,1.000,0.03,0.00
   73, 2.0, 5.0, 1.6,11497,1.000,0.03,0.00
   74, 0.0, 5.0, 1.5,11609,1.000,0.04,0.00
   75, 1.0, 5.0, 1.4,11732,1.000,0.04,0.00
   76, 2.0, 5.0, 1.5,11929,1.000,0.03,0.00
   77, 1.0, 5.0, 1.4,12094,1.000,0.04,0.00
   78, 0.0, 5.0, 1.3,12201,1.000,0.04,0.00
   79, 1.0, 5.0, 1.3,12340,1.000,0.04,0.00
   80, 2.0, 5.0, 1.3,12509,1.000,0.04,0.00
   81, 0.0, 5.0, 1.2,12617,1.000,0.03,0.00
   82, 1.0, 5.0, 1.2,12770,1.000,0.03,0.00
   83, 4.0, 5.0, 1.5,13055,1.000,0.03,0.00
   84, 2.0, 5.0, 1.5,13253,1.000,0.03,0.00
   85, 1.0, 5.0, 1.5,13402,1.000,0.04,0.00
   86, 2.0, 5.0, 1.5,13580,1.000,0.04,0.00
   87, 0.0, 5.0, 1.4,13676,1.000,0.04,0.00
   88, 0.0, 5.0, 1.2,13773,1.000,0.04,0.00
   89, 0.0, 5.0, 1.1,13888,1.000,0.04,0.00
   90, 2.0, 5.0, 1.2,14088,1.000,0.04,0.00
   91, 1.0, 5.0, 1.2,14248,1.000,0.04,0.00
   92, 1.0, 5.0, 1.2,14391,1.000,0.04,0.00
   93, 2.0, 5.0, 1.2,14584,1.000,0.04,0.00
   94, 0.0, 5.0, 1.1,14696,1.000,0.04,0.00
   95, 0.0, 5.0, 1.0,14814,1.000,0.04,0.00
   96, 1.0, 5.0, 1.0,14960,1.000,0.03,0.00
   97, 2.0, 5.0, 1.1,15165,1.000,0.04,0.00
   98, 0.0, 5.0, 1.0,15279,1.000,0.04,0.00
   99, 0.0, 5.0, 0.9,15389,1.000,0.04,0.00
  100, 3.0, 5.0, 1.1,15623,1.000,0.04,0.00
  101, 2.0, 5.0, 1.2,15818,1.000,0.03,0.00
  102, 1.0, 5.0, 1.2,15961,1.000,0.04,0.00
  103, 3.0, 5.0, 1.4,16202,1.000,0.03,0.00
  104, 3.0, 5.0, 1.5,16428,1.000,0.04,0.00
  105, 1.0, 5.0, 1.5,16581,1.000,0.03,0.00
  106, 0.0, 5.0, 1.3,16701,1.000,0.04,0.00
  107, 2.0, 5.0, 1.4,16897,1.000,0.04,0.00
  108, 0.0, 5.0, 1.3,17001,1.000,0.04,0.00
  109, 2.0, 5.0, 1.3,17199,1.000,0.04,0.00
  110, 0.0, 5.0, 1.2,17306,1.000,0.04,0.00
  111, 1.0, 5.0, 1.2,17458,1.000,0.04,0.00
  112, 2.0, 5.0, 1.3,17670,1.000,0.04,0.00
  113, 0.0, 5.0, 1.1,17785,1.000,0.03,0.00
  114, 0.0, 5.0, 1.0,17890,1.000,0.04,0.00
  115, 3.0, 5.0, 1.2,18113,1.000,0.04,0.00
  116, 0.0, 5.0, 1.1,18217,1.000,0.04,0.00
  117, 3.0, 5.0, 1.3,18442,1.000,0.04,0.00
  118, 1.0, 5.0, 1.3,18591,1.000,0.04,0.00
  119, 3.0, 5.0, 1.4,18846,1.000,0.03,0.00
  120, 0.0, 5.0, 1.3,18968,1.000,0.04,0.00
  121, 0.0, 5.0, 1.2,19090,1.000,0.04,0.00
  122, 0.0, 5.0, 1.0,19197,1.000,0.04,0.00
  123, 0.0, 5.0, 0.9,19303,1.000,0.04,0.00
  124, 2.0, 5.0, 1.0,19480,1.000,0.04,0.00
  125, 0.0, 5.0, 0.9,19589,1.000,0.04,0.00
  126, 1.0, 5.0, 0.9,19732,1.000,0.04,0.00
  127, 2.0, 5.0, 1.1,19910,1.000,0.03,0.00
  128, 1.0, 5.0, 1.0,20074,1.000,0.04,0.00
  129, 4.0, 5.0, 1.3,20334,1.000,0.04,0.00
  130, 2.0, 5.0, 1.4,20520,1.000,0.04,0.00
  131, 2.0, 5.0, 1.5,20704,1.000,0.04,0.00
  132, 0.0, 5.0, 1.3,20825,1.000,0.04,0.00
  133, 1.0, 5.0, 1.3,20983,1.000,0.04,0.00
  134, 1.0, 5.0, 1.3,21134,1.000,0.04,0.00
  135, 3.0, 5.0, 1.4,21367,1.000,0.04,0.00
  136, 3.0, 5.0, 1.6,21592,1.000,0.04,0.00
  137, 0.0, 5.0, 1.4,21712,1.000,0.04,0.00
  138, 1.0, 5.0, 1.4,21869,1.000,0.04,0.00
  139, 1.0, 5.0, 1.3,22032,1.000,0.04,0.00
  140, 0.0, 5.0, 1.2,22139,1.000,0.04,0.00
  141, 0.0, 5.0, 1.1,22235,1.000,0.04,0.00
  142, 1.0, 5.0, 1.1,22379,1.000,0.04,0.00
  143, 0.0, 5.0, 1.0,22497,1.000,0.04,0.00
  144, 2.0, 5.0, 1.1,22690,1.000,0.04,0.00
  145, 3.0, 5.0, 1.3,22906,1.000,0.04,0.00
  146, 2.0, 5.0, 1.3,23121,1.000,0.04,0.00
  147, 2.0, 5.0, 1.4,23335,1.000,0.04,0.00
  148, 1.0, 5.0, 1.4,23474,1.000,0.04,0.00
  149, 2.0, 5.0, 1.4,23670,1.000,0.03,0.00
  150, 1.0, 5.0, 1.4,23820,1.000,0.04,0.00
  151, 2.0, 5.0, 1.4,24003,1.000,0.04,0.00
  152, 3.0, 5.0, 1.6,24246,1.000,0.04,0.00
  153, 2.0, 5.0, 1.6,24417,1.000,0.03,0.00
  154, 1.0, 5.0, 1.6,24559,1.000,0.04,0.00
  155, 1.0, 5.0, 1.5,24697,1.000,0.04,0.00
  156, 3.0, 5.0, 1.7,24963,1.000,0.03,0.00
  157, 3.0, 5.0, 1.8,25204,1.000,0.03,0.00
  158, 2.0, 5.0, 1.8,25383,1.000,0.04,0.00
  159, 1.0, 5.0, 1.7,25512,1.000,0.04,0.00
  160, 3.0, 5.0, 1.9,25726,1.000,0.04,0.00
  161, 3.0, 5.0, 2.0,25950,1.000,0.04,0.00
  162, 0.0, 5.0, 1.8,26055,1.000,0.04,0.00
  163, 1.0, 5.0, 1.7,26197,1.000,0.04,0.00
  164, 0.0, 5.0, 1.5,26299,1.000,0.03,0.00
  165, 3.0, 5.0, 1.7,26521,1.000,0.04,0.00
  166, 1.0, 5.0, 1.6,26681,1.000,0.04,0.00
  167, 1.0, 5.0, 1.6,26814,1.000,0.04,0.00
  168, 1.0, 5.0, 1.5,26969,1.000,0.04,0.00
  169, 1.0, 5.0, 1.4,27103,1.000,0.04,0.00
  170, 1.0, 5.0, 1.4,27264,1.000,0.04,0.00
